"Нумерация";"Товар 1С";"Артикул";"Цена 1С (руб)";"Маркетплейс";"Название на маркетплейсе";"Цена конкурента (руб)";"Разница (руб)";"Совпадение (%)";"Отзывов";"Рейтинг";"Ссылка"
"1";"Аккумуляторный блок для очков 509 S1";"509_S1";"16100.0";"Не найдено";"";"";"";"";"";"";""
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"64100.0";"Не найдено";"";"";"";"";"";"";""
"3";"Ботинки FXR Helium BOA с утеплителем";"FXR_Helium_BOA";"60875.0";"Не найдено";"";"";"";"";"";"";""
"4";"Ботинки FXR X-Cross Pro BOA с утеплителем";"FXR_X_Cross_Pro_BOA";"31700.0";"Не найдено";"";"";"";"";"";"";""
"5";"Ботинки RSX MAMAY";"RSX_MAMAY";"22200.0";"Не найдено";"";"";"";"";"";"";""
