"Нумерация";"Товар 1С";"Артикул";"Цена 1С (руб)";"Маркетплейс";"Название на маркетплейсе";"Цена конкурента (руб)";"Разница (руб)";"Совпадение (%)";"Отзывов";"Рейтинг";"Ссылка"
"1";"Аккумуляторный блок для очков 509 S1";"509_S1";"16100.0";"Не найдено";"";"";"";"";"";"";""
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"64100.0";"Не найдено";"";"";"";"";"";"";""
"3";"Ботинки FXR Helium BOA с утеплителем";"FXR_Helium_BOA";"60875.0";"Не найдено";"";"";"";"";"";"";""
"4";"Ботинки FXR X-Cross Pro BOA с утеплителем";"FXR_X_Cross_Pro_BOA";"31700.0";"Не найдено";"";"";"";"";"";"";""
"5";"Ботинки RSX MAMAY";"RSX_MAMAY";"22200.0";"Не найдено";"";"";"";"";"";"";""
"6";"Ботинки зимние ATV/снегоход FLY RACING MARKER";"ATV_FLY_RACING_MARKER";"4600.0";"Не найдено";"";"";"";"";"";"";""
"7";"Варежки-митенки Sowcat";"Sowcat";"84600.0";"Не найдено";"";"";"";"";"";"";""
"8";"Комбинезон DragonFly Expedition";"DragonFly_Expedition";"41500.0";"Не найдено";"";"";"";"";"";"";""
"9";"Комбинезон DragonFly Extreme 2.0 Acid";"DragonFly_Extreme_2_0_Acid";"37000.0";"Не найдено";"";"";"";"";"";"";""
"10";"Комбинезон DragonFly Extreme 2020";"DragonFly_Extreme_2020";"67500.0";"Не найдено";"";"";"";"";"";"";""
"11";"Комбинезон FXR CX F.A.S.T. с утеплителем";"FXR_CX_F_A_S_T";"89200.0";"Не найдено";"";"";"";"";"";"";""
"12";"Комбинезон женский DragonFly Extreme 2021";"DragonFly_Extreme_2021";"41500.0";"Не найдено";"";"";"";"";"";"";""
"13";"Комбинезон утепленный DragonFly Extreme 2.0";"DragonFly_Extreme_2_0";"41500.0";"Не найдено";"";"";"";"";"";"";""
"14";"Комбинезон утепленный DragonFly Junior Gravity";"DragonFly_Junior_Gravity";"19600.0";"Не найдено";"";"";"";"";"";"";""
"15";"Куртка мужская DragonFly Expedition";"DragonFly_Expedition";"13000.0";"Не найдено";"";"";"";"";"";"";""
"16";"Куртка утепленная DragonFly Gravity for Teen";"DragonFly_Gravity_for_Teen";"18000.0";"Не найдено";"";"";"";"";"";"";""
"17";"Очки 509 Sinister X7 S1 Black Saphire с подогревом";"509_Sinister_X7_S1_Black_Saphire";"64950.0";"Не найдено";"";"";"";"";"";"";""
"18";"Очки с подогревом STARKS SW02";"STARKS_SW02";"4600.0";"Не найдено";"";"";"";"";"";"";""
"19";"Перчатки DRAGONFLY Snowmobile Extreme";"DRAGONFLY_Snowmobile_Extreme";"4600.0";"Не найдено";"";"";"";"";"";"";""
"20";"Перчатки FXR Attack";"FXR_Attack";"13500.0";"Не найдено";"";"";"";"";"";"";""
"21";"Перчатки FXR CX с утеплителем";"FXR_CX";"15200.0";"Не найдено";"";"";"";"";"";"";""
"22";"Перчатки FXR Leather";"FXR_Leather";"15900.0";"Не найдено";"";"";"";"";"";"";""
"23";"Перчатки FXR Transfer с утеплителем";"FXR_Transfer";"3900.0";"Не найдено";"";"";"";"";"";"";""
"24";"Перчатки STARKS ARCTIC";"STARKS_ARCTIC";"5990.0";"Не найдено";"";"";"";"";"";"";""
"25";"Перчатки Suomy Snow";"Suomy_Snow";"8100.0";"Не найдено";"";"";"";"";"";"";""
"26";"Плащ зимний DragonFly Race Coat";"DragonFly_Race_Coat";"28500.0";"Не найдено";"";"";"";"";"";"";""
"27";"Сидушка неопреновая DragonFly";"DragonFly";"2600.0";"Не найдено";"";"";"";"";"";"";""
"28";"Термомуфта на руль Starks Warm 35";"Starks_Warm_35";"48300.0";"Не найдено";"";"";"";"";"";"";""
"29";"Шлем 509 Altitude Fidlock";"509_Altitude_Fidlock";"80400.0";"Не найдено";"";"";"";"";"";"";""
"30";"Шлем 509 Tactical 2.0";"509_Tactical_2_0";"65350.0";"Не найдено";"";"";"";"";"";"";""
"31";"Шлем FXR Helium Carbon W/ Auto Buckle";"FXR_Helium_Carbon_W_Auto_Buckle";"74170.0";"Не найдено";"";"";"";"";"";"";""
"32";"Шлем FXR Maverick X Pro";"FXR_Maverick_X_Pro";"77800.0";"Не найдено";"";"";"";"";"";"";""
"33";"Шлем FXR Torque Cold Stop QRS 22";"FXR_Torque_Cold_Stop_QRS_22";"22150.0";"Не найдено";"";"";"";"";"";"";""
"34";"Шлем GSB G-362";"GSB_G_362";"26000.0";"Не найдено";"";"";"";"";"";"";""
"35";"Шлем RSX Iceman H-331 Winter";"RSX_Iceman_H_331_Winter";"17500.0";"Не найдено";"";"";"";"";"";"";""
"36";"Штаны мужские DragonFly Expedition";"DragonFly_Expedition";"24000.0";"Не найдено";"";"";"";"";"";"";""
"37";"Штаны мужские DragonFly Sport";"DragonFly_Sport";"15000.0";"Не найдено";"";"";"";"";"";"";""
