"Товар 1С";"Артикул";"Цена 1С (руб)";"Маркетплейс";"Название на маркетплейсе";"Цена конкурента (руб)";"Разница (руб)";"Разница (%)";"Совпадение (%)";"Ссылка"
"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"OZON";"Очки для снегохода зимние 509 Aviator 2.0 S1 с подогревом (Nightvision (2023))";"60937.0";"44837.0";"278.5";"77.0";"https://www.ozon.ru/product/ochki-dlya-snegohoda-zimnie-509-aviator-2-0-s1-s-podogrevom-nightvision-2023-1841925129/"
"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"OZON";"Очки для снегохода зимние 509 Aviator 2.0 XL S1 с подогревом (Nightvision (2023))";"58089.0";"41989.0";"260.8";"74.0";"https://www.ozon.ru/product/ochki-dlya-snegohoda-zimnie-509-aviator-2-0-xl-s1-s-podogrevom-nightvision-2023-1841924929/"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"OZON";"Ботинки снегоходные FXR X-Cross Pro BOA с утеплителем";"33736.0";"-22914.0";"-40.5";"89.0";"https://www.ozon.ru/product/botinki-snegohodnye-fxr-x-cross-pro-boa-s-uteplitelem-2247275408/"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"OZON";"Ботинки снегоходные FXR X-Cross Pro BOA с утеплителем";"33736.0";"-22914.0";"-40.5";"89.0";"https://www.ozon.ru/product/botinki-snegohodnye-fxr-x-cross-pro-boa-s-uteplitelem-2247275408/"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"OZON";"Ботинки снегоходные FXR X-Cross Pro BOA с утеплителем";"33736.0";"-22914.0";"-40.5";"89.0";"https://www.ozon.ru/product/botinki-snegohodnye-fxr-x-cross-pro-boa-s-uteplitelem-2247275408/"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"OZON";"Мотоботы FXR Helium BOA с утеплителем";"49646.0";"-7004.0";"-12.4";"82.0";"https://www.ozon.ru/product/motoboty-fxr-helium-boa-s-uteplitelem-2246679908/"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"OZON";"Мотоботы FXR Helium BOA с утеплителем";"49646.0";"-7004.0";"-12.4";"82.0";"https://www.ozon.ru/product/motoboty-fxr-helium-boa-s-uteplitelem-2246679908/"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"OZON";"Мотоботы FXR Helium BOA с утеплителем";"49646.0";"-7004.0";"-12.4";"82.0";"https://www.ozon.ru/product/motoboty-fxr-helium-boa-s-uteplitelem-2246679908/"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"OZON";"Ботинки снегоходные FXR BOA";"60004.0";"3354.0";"5.9";"80.0";"https://www.ozon.ru/product/botinki-snegohodnye-fxr-boa-703131382/"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"OZON";"Ботинки снегоходные FXR BOA";"68998.0";"12348.0";"21.8";"80.0";"https://www.ozon.ru/product/botinki-snegohodnye-fxr-boa-703219955/"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"OZON";"Ботинки снегоходные FXR BOA";"68998.0";"12348.0";"21.8";"80.0";"https://www.ozon.ru/product/botinki-snegohodnye-fxr-boa-703219955/"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"OZON";"Ботинки снегоходные FXR BOA";"60004.0";"3354.0";"5.9";"80.0";"https://www.ozon.ru/product/botinki-snegohodnye-fxr-boa-703131382/"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"OZON";"Ботинки снегоходные FXR";"38361.0";"-18289.0";"-32.3";"76.0";"https://www.ozon.ru/product/botinki-snegohodnye-fxr-1377948904/"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"OZON";"Ботинки снегоходные FXR";"57759.0";"1109.0";"2.0";"76.0";"https://www.ozon.ru/product/botinki-snegohodnye-fxr-1802155960/"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"OZON";"Ботинки снегоходные FXR";"57759.0";"1109.0";"2.0";"76.0";"https://www.ozon.ru/product/botinki-snegohodnye-fxr-1799672224/"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"OZON";"Ботинки снегоходные FXR";"59941.0";"3291.0";"5.8";"76.0";"https://www.ozon.ru/product/botinki-snegohodnye-fxr-1339586448/"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"OZON";"Ботинки снегоходные FXR";"57576.0";"926.0";"1.6";"76.0";"https://www.ozon.ru/product/botinki-snegohodnye-fxr-1744351216/"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"OZON";"Ботинки снегоходные FXR";"76432.0";"19782.0";"34.9";"76.0";"https://www.ozon.ru/product/botinki-snegohodnye-fxr-1799670381/"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"OZON";"Ботинки снегоходные FXR HELIUM BOA BOOT";"47310.0";"-9340.0";"-16.5";"71.0";"https://www.ozon.ru/product/botinki-snegohodnye-fxr-helium-boa-boot-1690111005/"
