"Нумерация";"Товар 1С";"Артикул";"Цена 1С (руб)";"Маркетплейс";"Название на маркетплейсе";"Цена конкурента (руб)";"Разница (руб)";"Совпадение (%)";"Отзывов";"Рейтинг";"Ссылка"
"1";"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"OZON";"Очки для снегохода зимние 509 Aviator 2.0 S1 с подогревом (Nightvision (2023))";"64612.0";"48512.0";"77.0";"0";"";"https://www.ozon.ru/product/ochki-dlya-snegohoda-zimnie-509-aviator-2-0-s1-s-podogrevom-nightvision-2023-1841925129/"
"1";"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"OZON";"Очки для снегохода зимние 509 Aviator 2.0 XL S1 с подогревом (Nightvision (2023))";"63111.0";"47011.0";"74.0";"0";"";"https://www.ozon.ru/product/ochki-dlya-snegohoda-zimnie-509-aviator-2-0-xl-s1-s-podogrevom-nightvision-2023-1841924929/"
"1";"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"OZON";"Очки 509 Aviator 2.0 S1 с подогревом (Nightvision (2023))";"58803.0";"42703.0";"72.0";"0";"";"https://www.ozon.ru/product/ochki-509-aviator-2-0-s1-s-podogrevom-nightvision-2023-1987967860/"
"2";"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Не найдено";"";"";"";"";"";"";""
"3";"Ботинки FXR Elevation Dual BOA с утеплителем";"_Ботинки_FXR_Ele";"64100.0";"Не найдено";"";"";"";"";"";"";""
"4";"Ботинки FXR Helium BOA с утеплителем";"_Ботинки_FXR_Hel";"53750.0";"Не найдено";"";"";"";"";"";"";""
"5";"Ботинки FXR Helium Dual BOA с утеплителем";"_Ботинки_FXR_Hel";"60875.0";"Не найдено";"";"";"";"";"";"";""
"6";"Ботинки FXR X-Cross Pro BOA с утеплителем";"_Ботинки_FXR_X-C";"39600.0";"Не найдено";"";"";"";"";"";"";""
"7";"Ботинки RSX BARS";"_Ботинки_RSX_BAR";"31700.0";"Не найдено";"";"";"";"";"";"";""
"8";"Ботинки сконструированы с использованием передового высокотехнологичного мембранного материала, обеспечивающего водонепроницаемость и оптимальный уровень воздухообмена, синтетической кожи и высококачественной натуральной резины. Система шнуровки MOZ® с одним диском; Петля D-ring на заднике ботинка; Подошва из натуральной резины. 400 г утеплителя обеспечивают комфорт при температурах до -40 °C. Мягкая, удобная защита ахиллова сухожилия  и лодыжки; Крепкий корпус ботинка защищает ногу изнутри и снаружи";"_Ботинки_сконстр";"22200.0";"Не найдено";"";"";"";"";"";"";""
"9";"Ботинки зимние ATV/снегоход FLY RACING MARKER";"_Ботинки_зимние_";"15400.0";"Не найдено";"";"";"";"";"";"";""
"10";"Варежки DRAGONFLY Snowmobile Mittens";"_Варежки_DRAGONF";"4600.0";"OZON";"Варежки снегоходные Dragonfly DF SNOWMOBILE MITTENS Grey 2XL";"7363.0";"2763.0";"87.0";"0";"";"https://www.ozon.ru/product/varezhki-snegohodnye-dragonfly-df-snowmobile-mittens-grey-2xl-2028035956/"
"11";"Варежки-митенки Sowcat";"_Варежки-митенки";"890.0";"OZON";"Митенки перчатки варежки детские";"169.0";"-721.0";"77.0";"10";"4,3";"https://www.ozon.ru/product/mitenki-perchatki-varezhki-detskie-2800553111/"
"11";"Варежки-митенки Sowcat";"_Варежки-митенки";"890.0";"OZON";"Митенки перчатки варежки детские";"225.0";"-665.0";"77.0";"0";"";"https://www.ozon.ru/product/mitenki-perchatki-varezhki-detskie-2833408009/"
"12";"Обновленный костюм Allied Mono Suit Shell 509 обеспечивает превосходную защиту от непогоды благодаря полностью проклеенной водонепроницаемой / дышащей ткани и прочному полиэстеру Cordura® 300D с тройной строчкой. Обновленная ластовица в области паха улучшает посадку там, где это необходимо, а новая ширинка на молнии упрощает остановку на пит-стопе.";"_Обновленный_кос";"84600.0";"Не найдено";"";"";"";"";"";"";""
"13";"Комбинезон DragonFly Expedition";"_Комбинезон_Drag";"43500.0";"Не найдено";"";"";"";"";"";"";""
"14";"Комбинезон DragonFly Extreme 2.0";"_Комбинезон_Drag";"41500.0";"Не найдено";"";"";"";"";"";"";""
"15";"Комбинезон сшит из прочной нейлоновой ткани плотного плетения с мембраной и защитным покрытием, что отличает его устойчивость при катании в лесистой местности и 100% защиту от ледяного ветра на открытых горных рельефах. Свободный райдерский крой обеспечивает удобную посадку при активной подвижности, как в защите, так и без неё. Высокие показатели паропроницаемости, отсутствие утеплителя и быстросохнущий подклад из полиэфирной сетки делают комбинезон Dragonfly надежным элементом экипировки для активного катания на горных склонах.";"_Комбинезон_сшит";"37000.0";"Не найдено";"";"";"";"";"";"";""
