"Нумерация";"Товар 1С";"Артикул";"Цена 1С (руб)";"Маркетплейс";"Название на маркетплейсе";"Цена конкурента (руб)";"Разница (руб)";"Совпадение (%)";"Отзывов";"Рейтинг";"Ссылка"
"1";"Аккумуляторный блок для очков 509 S1";"509_S1";"16100.0";"Не найдено";"";"";"";"";"";"";""
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"42.0";"motocomfort.ru";"Ботинки FXR Helium Dual BOA Black с утеплителем";"46990.0";"46948.0";"89.0";"0";"";"https://motocomfort.ru/zimniaia-ekipirovka/botinki-fxr-helium-dual-boa-black-s-uteplitelem/"
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"42.0";"motocomfort.ru";"Ботинки FXR Helium Dual BOA Black с утеплителем";"46990.0";"46948.0";"89.0";"0";"";"https://motocomfort.ru/zimniaia-ekipirovka/botinki-fxr-helium-dual-boa-black-s-uteplitelem/"
"3";"Ботинки FXR Elevation Dual BOA с утеплителем";"FXR_Elevation_Dual_BOA";"424546.0";"motocomfort.ru";"Ботинки FXR Helium Dual BOA Black с утеплителем";"46990.0";"-377556.0";"91.0";"0";"";"https://motocomfort.ru/zimniaia-ekipirovka/botinki-fxr-helium-dual-boa-black-s-uteplitelem/"
"3";"Ботинки FXR Elevation Dual BOA с утеплителем";"FXR_Elevation_Dual_BOA";"424546.0";"motocomfort.ru";"Ботинки FXR Helium Dual BOA Black с утеплителем";"46990.0";"-377556.0";"91.0";"0";"";"https://motocomfort.ru/zimniaia-ekipirovka/botinki-fxr-helium-dual-boa-black-s-uteplitelem/"
"4";"Ботинки FXR Helium BOA с утеплителем";"FXR_Helium_BOA";"414243454641.0";"motocomfort.ru";"Ботинки FXR Helium Dual BOA Black с утеплителем";"46990.0";"-414243407651.0";"100.0";"0";"";"https://motocomfort.ru/zimniaia-ekipirovka/botinki-fxr-helium-dual-boa-black-s-uteplitelem/"
"4";"Ботинки FXR Helium BOA с утеплителем";"FXR_Helium_BOA";"414243454641.0";"motocomfort.ru";"Ботинки FXR Helium Dual BOA Black с утеплителем";"46990.0";"-414243407651.0";"100.0";"0";"";"https://motocomfort.ru/zimniaia-ekipirovka/botinki-fxr-helium-dual-boa-black-s-uteplitelem/"
"5";"Ботинки FXR Helium Dual BOA с утеплителем";"FXR_Helium_Dual_BOA";"4345.0";"motocomfort.ru";"Ботинки FXR Helium Dual BOA Black с утеплителем";"46990.0";"42645.0";"100.0";"0";"";"https://motocomfort.ru/zimniaia-ekipirovka/botinki-fxr-helium-dual-boa-black-s-uteplitelem/"
"5";"Ботинки FXR Helium Dual BOA с утеплителем";"FXR_Helium_Dual_BOA";"4345.0";"motocomfort.ru";"Ботинки FXR Helium Dual BOA Black с утеплителем";"46990.0";"42645.0";"100.0";"0";"";"https://motocomfort.ru/zimniaia-ekipirovka/botinki-fxr-helium-dual-boa-black-s-uteplitelem/"
