"Нумерация";"Товар 1С";"Артикул";"Цена 1С (руб)";"Маркетплейс";"Название на маркетплейсе";"Цена конкурента (руб)";"Разница (руб)";"Совпадение (%)";"Отзывов";"Рейтинг";"Ссылка"
"1";"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"S1_Aviator_2_0_S1";"16100.0";"Не найдено";"";"";"";"";"";"";""
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"56650.0";"Не найдено";"";"";"";"";"";"";""
"3";"Ботинки FXR Elevation Dual BOA с утеплителем";"FXR_Elevation_Dual_BOA";"64100.0";"Не найдено";"";"";"";"";"";"";""
"4";"Ботинки FXR Helium BOA с утеплителем";"FXR_Helium_BOA";"53750.0";"Не найдено";"";"";"";"";"";"";""
"5";"Ботинки FXR Helium Dual BOA с утеплителем";"FXR_Helium_Dual_BOA";"60875.0";"Не найдено";"";"";"";"";"";"";""
"6";"Ботинки FXR X-Cross Pro BOA с утеплителем";"FXR_X_Cross_Pro_BOA";"39600.0";"Не найдено";"";"";"";"";"";"";""
"7";"Ботинки RSX BARS";"RSX_BARS";"31700.0";"Не найдено";"";"";"";"";"";"";""
"8";"Ботинки сконструированы с использованием передового высокотехнологичного мембранного материала, обеспечивающего водонепроницаемость и оптимальный уровень воздухообмена, синтетической кожи и высококачественной натуральной резины. Система шнуровки MOZ® с одним диском; Петля D-ring на заднике ботинка; Подошва из натуральной резины. 400 г утеплителя обеспечивают комфорт при температурах до -40 °C. Мягкая, удобная защита ахиллова сухожилия  и лодыжки; Крепкий корпус ботинка защищает ногу изнутри и снаружи";"MOZ_D_ring_400_40_C";"22200.0";"Не найдено";"";"";"";"";"";"";""
"9";"Ботинки зимние ATV/снегоход FLY RACING MARKER";"ATV_FLY_RACING_MARKER";"15400.0";"Не найдено";"";"";"";"";"";"";""
"10";"Варежки DRAGONFLY Snowmobile Mittens";"DRAGONFLY_Snowmobile_Mittens";"4600.0";"Не найдено";"";"";"";"";"";"";""
"11";"Варежки-митенки Sowcat";"Sowcat";"890.0";"Не найдено";"";"";"";"";"";"";""
"12";"Обновленный костюм Allied Mono Suit Shell 509 обеспечивает превосходную защиту от непогоды благодаря полностью проклеенной водонепроницаемой / дышащей ткани и прочному полиэстеру Cordura® 300D с тройной строчкой. Обновленная ластовица в области паха улучшает посадку там, где это необходимо, а новая ширинка на молнии упрощает остановку на пит-стопе.";"Allied_Mono_Suit_Shell_509_Cordura_300D";"84600.0";"Не найдено";"";"";"";"";"";"";""
"13";"Комбинезон DragonFly Expedition";"DragonFly_Expedition";"43500.0";"Не найдено";"";"";"";"";"";"";""
"14";"Комбинезон DragonFly Extreme 2.0";"DragonFly_Extreme_2_0";"41500.0";"Не найдено";"";"";"";"";"";"";""
"15";"Комбинезон сшит из прочной нейлоновой ткани плотного плетения с мембраной и защитным покрытием, что отличает его устойчивость при катании в лесистой местности и 100% защиту от ледяного ветра на открытых горных рельефах. Свободный райдерский крой обеспечивает удобную посадку при активной подвижности, как в защите, так и без неё. Высокие показатели паропроницаемости, отсутствие утеплителя и быстросохнущий подклад из полиэфирной сетки делают комбинезон Dragonfly надежным элементом экипировки для активного катания на горных склонах.";"100_Dragonfly";"37000.0";"Не найдено";"";"";"";"";"";"";""
"16";"Комбинезон DragonFly Extreme 2020";"DragonFly_Extreme_2020";"37000.0";"Не найдено";"";"";"";"";"";"";""
"17";"Комбинезон DragonFly Superlight 3L";"DragonFly_Superlight_3L";"67500.0";"Не найдено";"";"";"";"";"";"";""
"18";"Комбинезон FXR CX F.A.S.T. с утеплителем";"FXR_CX_F_A_S_T";"92700.0";"Не найдено";"";"";"";"";"";"";""
"19";"Комбинезон FXR CX Lite";"FXR_CX_Lite";"89200.0";"Не найдено";"";"";"";"";"";"";""
"20";"Комбинезон женский DragonFly Extreme 2021";"DragonFly_Extreme_2021";"35200.0";"Не найдено";"";"";"";"";"";"";""
"21";"Комбинезон утепленный DragonFly Extreme";"DragonFly_Extreme";"41500.0";"Не найдено";"";"";"";"";"";"";""
"22";"Комбинезон утепленный DragonFly Extreme 2.0";"DragonFly_Extreme_2_0";"41500.0";"Не найдено";"";"";"";"";"";"";""
"23";"Комбинезон утепленный DragonFly Extreme Woman";"DragonFly_Extreme_Woman";"41500.0";"Не найдено";"";"";"";"";"";"";""
"24";"Комбинезон утепленный DragonFly Junior Gravity";"DragonFly_Junior_Gravity";"19900.0";"Не найдено";"";"";"";"";"";"";""
"25";"Куртка женская DragonFly Sport";"DragonFly_Sport";"19600.0";"Не найдено";"";"";"";"";"";"";""
"26";"Куртка мужская DragonFly Expedition";"DragonFly_Expedition";"26000.0";"Не найдено";"";"";"";"";"";"";""
"27";"Куртка мужская DragonFly Sport";"DragonFly_Sport";"13000.0";"Не найдено";"";"";"";"";"";"";""
"28";"Куртка утепленная DragonFly Gravity for Teen";"DragonFly_Gravity_for_Teen";"14900.0";"Не найдено";"";"";"";"";"";"";""
"29";"Куртка утепленная DragonFly Gravity Premium";"DragonFly_Gravity_Premium";"18000.0";"Не найдено";"";"";"";"";"";"";""
"30";"Очки 509 Sinister X7 S1 Black Saphire с подогревом";"509_Sinister_X7_S1_Black_Saphire";"64950.0";"Не найдено";"";"";"";"";"";"";""
"31";"Очки 509 Sinister X7 S1 Racing Red с подогревом";"509_Sinister_X7_S1_Racing_Red";"64950.0";"Не найдено";"";"";"";"";"";"";""
"32";"Очки с подогревом STARKS SW02";"STARKS_SW02";"19990.0";"Не найдено";"";"";"";"";"";"";""
"33";"Перчатки DRAGONFLY Mountain Backcountry";"DRAGONFLY_Mountain_Backcountry";"4600.0";"Не найдено";"";"";"";"";"";"";""
"34";"Перчатки DRAGONFLY Snowmobile Extreme";"DRAGONFLY_Snowmobile_Extreme";"4600.0";"Не найдено";"";"";"";"";"";"";""
"35";"Перчатки DRAGONFLY Snowmobile Sport";"DRAGONFLY_Snowmobile_Sport";"4600.0";"Не найдено";"";"";"";"";"";"";""
"36";"Перчатки FXR Attack";"FXR_Attack";"13900.0";"Не найдено";"";"";"";"";"";"";""
"37";"Перчатки FXR Attack Lite без утеплителя";"FXR_Attack_Lite";"13500.0";"Не найдено";"";"";"";"";"";"";""
"38";"Перчатки FXR CX с утеплителем";"FXR_CX";"13900.0";"Не найдено";"";"";"";"";"";"";""
"39";"Перчатки FXR Fuel с утеплителем";"FXR_Fuel";"15200.0";"Не найдено";"";"";"";"";"";"";""
"40";"Перчатки FXR Leather";"FXR_Leather";"11600.0";"Не найдено";"";"";"";"";"";"";""
"41";"Перчатки FXR Pro-Tec Leather с утеплителем";"FXR_Pro_Tec_Leather";"15900.0";"Не найдено";"";"";"";"";"";"";""
"42";"Перчатки FXR Transfer с утеплителем";"FXR_Transfer";"15100.0";"Не найдено";"";"";"";"";"";"";""
"43";"Перчатки Nerve";"Nerve";"3900.0";"Не найдено";"";"";"";"";"";"";""
"44";"Перчатки STARKS ARCTIC";"STARKS_ARCTIC";"6500.0";"Не найдено";"";"";"";"";"";"";""
"45";"Перчатки STARKS Haron";"STARKS_Haron";"5990.0";"Не найдено";"";"";"";"";"";"";""
"46";"Перчатки Suomy Snow";"Suomy_Snow";"4050.0";"Не найдено";"";"";"";"";"";"";""
