"Нумерация";"Товар 1С";"Артикул";"Цена 1С (руб)";"Маркетплейс";"Название на маркетплейсе";"Цена конкурента (руб)";"Разница (руб)";"Совпадение (%)";"Отзывов";"Рейтинг";"Ссылка"
"1";"Аккумуляторный блок для очков 509 S1";"509_S1";"16100.0";"OZON";"Аккумуляторный блок 509";"15210.0";"-890.0";"90.0";"0";"";"https://www.ozon.ru/product/akkumulyatornyy-blok-509-2488572330/"
"1";"Аккумуляторный блок для очков 509 S1";"509_S1";"16100.0";"Яндекс Маркет";"Аккумуляторный блок для очков 509 S1, Запасной аккумулятор для очков 509 Ignite с подогревом";"33293.0";"17193.0";"90.0";"0";"";"https://market.yandex.ru/card/akkumulyatornyy-blok-dlya-ochkov-509-s1-zapasnoy-akkumulyator-dlya-ochkov-509-ignite-s-podogrevom/103502271758"
"1";"Аккумуляторный блок для очков 509 S1";"509_S1";"16100.0";"OZON";"Аккумуляторный блок 509 S1, черный";"21917.0";"5817.0";"82.0";"0";"";"https://www.ozon.ru/product/akkumulyatornyy-blok-509-s1-chernyy-2488565768/"
"1";"Аккумуляторный блок для очков 509 S1";"509_S1";"16100.0";"Avito";"Аккумуляторный блок 509 S1 в Радужном";"14516.0";"-1584.0";"79.0";"978";"5,0";"https://www.avito.ru/vladimirskaya_oblast_raduzhnyy/zapchasti_i_aksessuary/akkumulyatornyy_blok_509_s1_7596151578"
"1";"Аккумуляторный блок для очков 509 S1";"509_S1";"16100.0";"Avito";"F02011300-000-001 Аккумуляторный блок 509 S1 в Казани";"19900.0";"3800.0";"79.0";"1141";"4,9";"https://www.avito.ru/kazan/zapchasti_i_aksessuary/f02011300-000-001_akkumulyatornyy_blok_509_s1_4262980126"
"1";"Аккумуляторный блок для очков 509 S1";"509_S1";"16100.0";"Avito";"Аккумуляторный блок 509 S1 Black в Самаре";"22515.0";"6415.0";"79.0";"2024";"4,9";"https://www.avito.ru/samara/sport_i_otdyh/akkumulyatornyy_blok_509_s1_black_4082027822"
"1";"Аккумуляторный блок для очков 509 S1";"509_S1";"16100.0";"Яндекс Маркет";"Корпус аккумулятора для очков 509 S1";"14210.0";"-1890.0";"78.0";"0";"";"https://market.yandex.ru/card/korpus-akkumulyatora-dlya-ochkov-509-s1/103088855028"
"1";"Аккумуляторный блок для очков 509 S1";"509_S1";"16100.0";"Яндекс Маркет";"Аккумулятор для очков 509 с подогревом";"25740.0";"9640.0";"71.0";"0";"";"https://market.yandex.ru/card/akkumulyator-dlya-ochkov-509-s-podogrevom/4535371445"
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"42.0";"Яндекс Маркет";"Ботинки FXR Backshift BOA с утеплителем, мембрана HydrX Pro, унисекс, размер 42";"68817.0";"68775.0";"100.0";"0";"";"https://market.yandex.ru/card/botinki-fxr-backshift-boa-s-uteplitelem-membrana-hydrx-pro-uniseks-razmer-42/4736681313"
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"42.0";"Яндекс Маркет";"Снегоходные ботинки FXR Backshift BOA с утеплителем Black 46 EU";"72270.0";"72228.0";"100.0";"0";"";"https://market.yandex.ru/card/snegokhodnyye-botinki-fxr-backshift-boa-s-uteplitelem-black-46-eu/4535358983"
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"42.0";"Яндекс Маркет";"Ботинки FXR";"69854.0";"69812.0";"100.0";"0";"";"https://market.yandex.ru/card/botinki-snegokhodnyye-fxr-helium-boa-s-uteplitelem/4307517999"
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"42.0";"Яндекс Маркет";"Ботинки FXR";"76230.0";"76188.0";"100.0";"0";"";"https://market.yandex.ru/card/botinki-snegokhodnyye-fxr-elevation-dual-boa-s-uteplitelem/4305962729"
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"42.0";"Яндекс Маркет";"Ботинки FXR Backshift BOA с утеплителем, мембрана HydrX Pro, унисекс, размер 42";"68817.0";"68775.0";"100.0";"0";"";"https://market.yandex.ru/card/botinki-fxr-backshift-boa-s-uteplitelem-membrana-hydrx-pro-uniseks-razmer-42/4736681313"
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"42.0";"Яндекс Маркет";"Ботинки FXR";"69854.0";"69812.0";"100.0";"0";"";"https://market.yandex.ru/card/botinki-snegokhodnyye-fxr-helium-boa-s-uteplitelem/4307517999"
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"42.0";"Яндекс Маркет";"Ботинки FXR";"69854.0";"69812.0";"100.0";"0";"";"https://market.yandex.ru/card/botinki-snegokhodnyye-fxr-helium-boa-s-uteplitelem/4307517999"
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"42.0";"Яндекс Маркет";"Ботинки FXR";"47223.0";"47181.0";"100.0";"0";"";"https://market.yandex.ru/card/botinki-snegokhodnyye-fxr-x-cross-pro-boa-s-uteplitelem/4305964386"
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"42.0";"OZON";"Ботинки снегоходные FXR X-Cross Pro BOA с утеплителем";"37659.0";"37617.0";"89.0";"0";"";"https://www.ozon.ru/product/botinki-snegohodnye-fxr-x-cross-pro-boa-s-uteplitelem-2247275408/"
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"42.0";"Яндекс Маркет";"Ботинки зимние снегоходные FXR Helium BOA с утеплителем, мембрана HydrX Pro, унисекс";"70344.0";"70302.0";"89.0";"0";"";"https://market.yandex.ru/card/botinki-zimniye-snegokhodnyye-fxr-helium-boa-s-uteplitelem-membrana-hydrx-pro-uniseks/4738636728"
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"42.0";"Яндекс Маркет";"Ботинки зимние снегоходные FXR Helium BOA с утеплителем, мембрана HydrX Pro, унисекс";"70344.0";"70302.0";"89.0";"0";"";"https://market.yandex.ru/card/botinki-zimniye-snegokhodnyye-fxr-helium-boa-s-uteplitelem-membrana-hydrx-pro-uniseks/4738633589"
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"42.0";"Яндекс Маркет";"Ботинки зимние снегоходные FXR Helium BOA с утеплителем, мембрана HydrX Pro, унисекс";"70344.0";"70302.0";"89.0";"0";"";"https://market.yandex.ru/card/botinki-zimniye-snegokhodnyye-fxr-helium-boa-s-uteplitelem-membrana-hydrx-pro-uniseks/4297902249"
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"42.0";"Яндекс Маркет";"Ботинки снегоходные FXR X-Cross Pro BOA с утеплителем, размер 46 черный серый";"50446.0";"50404.0";"89.0";"0";"";"https://market.yandex.ru/card/botinki-snegokhodnyye-fxr-x-cross-pro-boa-s-uteplitelem-razmer-46-chernyy-seryy/4698459281"
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"42.0";"Яндекс Маркет";"Снегоходные ботинки FXR X-Cross Pro BOA с утеплителем, Black Ops 38 EU";"81180.0";"81138.0";"89.0";"0";"";"https://market.yandex.ru/card/snegokhodnyye-botinki-fxr-x-cross-pro-boa-s-uteplitelem-black-ops-38-eu/4535413763"
"2";"Ботинки FXR Backshift BOA с утеплителем";"FXR_Backshift_BOA";"42.0";"Яндекс Маркет";"Ботинки зимние снегоходные FXR Helium Dual BOA с утеплителем";"80108.0";"80066.0";"89.0";"0";"";"https://market.yandex.ru/card/botinki-zimniye-snegokhodnyye-fxr-helium-dual-boa-s-uteplitelem/4297907574"
