"Товар 1С";"Артикул";"Цена 1С (руб)";"Маркетплейс";"Название на маркетплейсе";"Цена конкурента (руб)";"Разница (руб)";"Разница (%)";"Совпадение (%)";"Ссылка"
"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"Wildberries";"509/Очки горнолыжные (снегоходные) Aviator 2.0 S1 с подогревом /Очки горнолыжные (снегоходные) Aviator 2.0 S1 с подогревом";"61200.0";"45100.0";"280.1";"72.0";"https://www.wildberries.ru/catalog/302382218/detail.aspx"
"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"Wildberries";"509/Очки горнолыжные снегоходные Aviator 2.0 S1 с подогревом /Очки горнолыжные снегоходные Aviator 2.0 S1 с подогревом";"61200.0";"45100.0";"280.1";"72.0";"https://www.wildberries.ru/catalog/302378802/detail.aspx"
"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Wildberries";"FXR/Снегоходные ботинки с утеплителем Backshift BOA /Снегоходные ботинки с утеплителем Backshift BOA";"47836.0";"-8814.0";"-15.6";"80.0";"https://www.wildberries.ru/catalog/143274680/detail.aspx"
"Ботинки FXR Elevation Dual BOA с утеплителем";"_Ботинки_FXR_Ele";"64100.0";"Wildberries";"FXR/Ботинки зимние снегоходные Helium Dual BOA с утеплителем /Ботинки зимние снегоходные Helium Dual BOA с утеплителем";"64608.0";"508.0";"0.8";"71.0";"https://www.wildberries.ru/catalog/370889471/detail.aspx"
"Ботинки FXR Elevation Dual BOA с утеплителем";"_Ботинки_FXR_Ele";"64100.0";"Wildberries";"FXR/Ботинки зимние снегоходные Helium Dual BOA с утеплителем /Ботинки зимние снегоходные Helium Dual BOA с утеплителем";"64608.0";"508.0";"0.8";"71.0";"https://www.wildberries.ru/catalog/370889471/detail.aspx"
"Ботинки FXR Helium BOA с утеплителем";"_Ботинки_FXR_Hel";"53750.0";"Wildberries";"FXR/Ботинки снегоходные Helium BOA с утеплителем /Ботинки снегоходные Helium BOA с утеплителем";"58055.0";"4305.0";"8.0";"80.0";"https://www.wildberries.ru/catalog/307022466/detail.aspx"
"Ботинки FXR Helium BOA с утеплителем";"_Ботинки_FXR_Hel";"53750.0";"Wildberries";"FXR/Ботинки зимние снегоходные Helium Dual BOA с утеплителем /Ботинки зимние снегоходные Helium Dual BOA с утеплителем";"64608.0";"10858.0";"20.2";"80.0";"https://www.wildberries.ru/catalog/370889471/detail.aspx"
"Ботинки FXR Helium BOA с утеплителем";"_Ботинки_FXR_Hel";"53750.0";"Wildberries";"FXR/Снегоходные ботинки Helium BOA с утеплителем зимние /Снегоходные ботинки Helium BOA с утеплителем зимние";"53316.0";"-434.0";"-0.8";"80.0";"https://www.wildberries.ru/catalog/140124284/detail.aspx"
"Ботинки FXR Helium BOA с утеплителем";"_Ботинки_FXR_Hel";"53750.0";"Wildberries";"FXR/Ботинки зимние снегоходные Helium Dual BOA с утеплителем /Ботинки зимние снегоходные Helium Dual BOA с утеплителем";"64608.0";"10858.0";"20.2";"80.0";"https://www.wildberries.ru/catalog/370889471/detail.aspx"
"Ботинки FXR Helium BOA с утеплителем";"_Ботинки_FXR_Hel";"53750.0";"Wildberries";"FXR/Ботинки зимние снегоходные Helium Dual BOA с утеплителем /Ботинки зимние снегоходные Helium Dual BOA с утеплителем";"64608.0";"3733.0";"6.1";"80.0";"https://www.wildberries.ru/catalog/370889471/detail.aspx"
"Ботинки FXR Helium BOA с утеплителем";"_Ботинки_FXR_Hel";"53750.0";"Wildberries";"FXR/Ботинки зимние снегоходные Helium Dual BOA с утеплителем /Ботинки зимние снегоходные Helium Dual BOA с утеплителем";"64608.0";"3733.0";"6.1";"80.0";"https://www.wildberries.ru/catalog/370889471/detail.aspx"
"Ботинки FXR Helium BOA с утеплителем";"_Ботинки_FXR_Hel";"53750.0";"Wildberries";"FXR/Ботинки снегоходные Helium BOA с утеплителем /Ботинки снегоходные Helium BOA с утеплителем";"58055.0";"-2820.0";"-4.6";"76.0";"https://www.wildberries.ru/catalog/307022466/detail.aspx"
"Ботинки FXR Helium BOA с утеплителем";"_Ботинки_FXR_Hel";"53750.0";"Wildberries";"FXR/Снегоходные ботинки Helium BOA с утеплителем зимние /Снегоходные ботинки Helium BOA с утеплителем зимние";"53316.0";"-7559.0";"-12.4";"76.0";"https://www.wildberries.ru/catalog/140124284/detail.aspx"
"Ботинки FXR Helium BOA с утеплителем";"_Ботинки_FXR_Hel";"53750.0";"Wildberries";"FXR/Снегоходные ботинки с утеплителем Backshift BOA /Снегоходные ботинки с утеплителем Backshift BOA";"47836.0";"-5914.0";"-11.0";"72.0";"https://www.wildberries.ru/catalog/143274680/detail.aspx"
