"Товар 1С";"Артикул";"Цена 1С (руб)";"Маркетплейс";"Название на маркетплейсе";"Цена конкурента (руб)";"Разница (руб)";"Разница (%)";"Совпадение (%)";"Ссылка"
"Ботинки FXR Helium Dual BOA с утеплителем";"_Ботинки_FXR_Hel";"60875.0";"Wildberries";"FXR/Ботинки снегоходные Helium BOA с утеплителем /Ботинки снегоходные Helium BOA с утеплителем";"58055.0";"4305.0";"8.0";"80.0";"https://www.wildberries.ru/catalog/307022466/detail.aspx"
"Ботинки FXR Helium Dual BOA с утеплителем";"_Ботинки_FXR_Hel";"60875.0";"Wildberries";"FXR/Ботинки зимние снегоходные Helium Dual BOA с утеплителем /Ботинки зимние снегоходные Helium Dual BOA с утеплителем";"64608.0";"10858.0";"20.2";"80.0";"https://www.wildberries.ru/catalog/370889471/detail.aspx"
"Ботинки FXR Helium Dual BOA с утеплителем";"_Ботинки_FXR_Hel";"60875.0";"Wildberries";"FXR/Снегоходные ботинки Helium BOA с утеплителем зимние /Снегоходные ботинки Helium BOA с утеплителем зимние";"53316.0";"-434.0";"-0.8";"80.0";"https://www.wildberries.ru/catalog/140124284/detail.aspx"
"Ботинки FXR Helium Dual BOA с утеплителем";"_Ботинки_FXR_Hel";"60875.0";"Wildberries";"FXR/Ботинки зимние снегоходные Helium Dual BOA с утеплителем /Ботинки зимние снегоходные Helium Dual BOA с утеплителем";"64608.0";"10858.0";"20.2";"80.0";"https://www.wildberries.ru/catalog/370889471/detail.aspx"
"Ботинки FXR Helium Dual BOA с утеплителем";"_Ботинки_FXR_Hel";"60875.0";"Wildberries";"FXR/Ботинки зимние снегоходные Helium Dual BOA с утеплителем /Ботинки зимние снегоходные Helium Dual BOA с утеплителем";"64608.0";"3733.0";"6.1";"80.0";"https://www.wildberries.ru/catalog/370889471/detail.aspx"
"Ботинки FXR Helium Dual BOA с утеплителем";"_Ботинки_FXR_Hel";"60875.0";"Wildberries";"FXR/Ботинки зимние снегоходные Helium Dual BOA с утеплителем /Ботинки зимние снегоходные Helium Dual BOA с утеплителем";"64608.0";"3733.0";"6.1";"80.0";"https://www.wildberries.ru/catalog/370889471/detail.aspx"
"Ботинки FXR Helium Dual BOA с утеплителем";"_Ботинки_FXR_Hel";"60875.0";"Wildberries";"FXR/Ботинки снегоходные Helium BOA с утеплителем /Ботинки снегоходные Helium BOA с утеплителем";"58055.0";"-2820.0";"-4.6";"76.0";"https://www.wildberries.ru/catalog/307022466/detail.aspx"
"Ботинки FXR Helium Dual BOA с утеплителем";"_Ботинки_FXR_Hel";"60875.0";"Wildberries";"FXR/Снегоходные ботинки Helium BOA с утеплителем зимние /Снегоходные ботинки Helium BOA с утеплителем зимние";"53316.0";"-7559.0";"-12.4";"76.0";"https://www.wildberries.ru/catalog/140124284/detail.aspx"
"Ботинки FXR Helium Dual BOA с утеплителем";"_Ботинки_FXR_Hel";"60875.0";"Wildberries";"FXR/Снегоходные ботинки с утеплителем Backshift BOA /Снегоходные ботинки с утеплителем Backshift BOA";"47836.0";"-5914.0";"-11.0";"72.0";"https://www.wildberries.ru/catalog/143274680/detail.aspx"
"Ботинки FXR X-Cross Pro BOA с утеплителем";"_Ботинки_FXR_X-C";"39600.0";"Не найдено";"";"";"";"";"";""
"Ботинки RSX BARS";"_Ботинки_RSX_BAR";"31700.0";"Не найдено";"";"";"";"";"";""
"Ботинки сконструированы с использованием передового высокотехнологичного мембранного материала, обеспечивающего водонепроницаемость и оптимальный уровень воздухообмена, синтетической кожи и высококачественной натуральной резины. Система шнуровки MOZ® с одним диском; Петля D-ring на заднике ботинка; Подошва из натуральной резины. 400 г утеплителя обеспечивают комфорт при температурах до -40 °C. Мягкая, удобная защита ахиллова сухожилия  и лодыжки; Крепкий корпус ботинка защищает ногу изнутри и снаружи";"_Ботинки_сконстр";"22200.0";"Не найдено";"";"";"";"";"";""
"Ботинки зимние ATV/снегоход FLY RACING MARKER";"_Ботинки_зимние_";"15400.0";"Не найдено";"";"";"";"";"";""
"Варежки DRAGONFLY Snowmobile Mittens";"_Варежки_DRAGONF";"4600.0";"Не найдено";"";"";"";"";"";""
"Варежки-митенки Sowcat";"_Варежки-митенки";"890.0";"Не найдено";"";"";"";"";"";""
"Обновленный костюм Allied Mono Suit Shell 509 обеспечивает превосходную защиту от непогоды благодаря полностью проклеенной водонепроницаемой / дышащей ткани и прочному полиэстеру Cordura® 300D с тройной строчкой. Обновленная ластовица в области паха улучшает посадку там, где это необходимо, а новая ширинка на молнии упрощает остановку на пит-стопе.";"_Обновленный_кос";"84600.0";"Не найдено";"";"";"";"";"";""
"Комбинезон DragonFly Expedition";"_Комбинезон_Drag";"43500.0";"Не найдено";"";"";"";"";"";""
"Комбинезон DragonFly Extreme 2.0";"_Комбинезон_Drag";"41500.0";"Не найдено";"";"";"";"";"";""
"Комбинезон сшит из прочной нейлоновой ткани плотного плетения с мембраной и защитным покрытием, что отличает его устойчивость при катании в лесистой местности и 100% защиту от ледяного ветра на открытых горных рельефах. Свободный райдерский крой обеспечивает удобную посадку при активной подвижности, как в защите, так и без неё. Высокие показатели паропроницаемости, отсутствие утеплителя и быстросохнущий подклад из полиэфирной сетки делают комбинезон Dragonfly надежным элементом экипировки для активного катания на горных склонах.";"_Комбинезон_сшит";"37000.0";"Не найдено";"";"";"";"";"";""
"Комбинезон DragonFly Extreme 2020";"_Комбинезон_Drag";"37000.0";"Не найдено";"";"";"";"";"";""
"Комбинезон DragonFly Superlight 3L";"_Комбинезон_Drag";"67500.0";"Не найдено";"";"";"";"";"";""
"Комбинезон FXR CX F.A.S.T. с утеплителем";"_Комбинезон_FXR_";"92700.0";"Не найдено";"";"";"";"";"";""
"Комбинезон FXR CX Lite";"_Комбинезон_FXR_";"89200.0";"Не найдено";"";"";"";"";"";""
"Комбинезон женский DragonFly Extreme 2021";"_Комбинезон_женс";"35200.0";"Не найдено";"";"";"";"";"";""
"Комбинезон утепленный DragonFly Extreme";"_Комбинезон_утеп";"41500.0";"Не найдено";"";"";"";"";"";""
"Комбинезон утепленный DragonFly Extreme 2.0";"_Комбинезон_утеп";"41500.0";"Не найдено";"";"";"";"";"";""
"Комбинезон утепленный DragonFly Extreme Woman";"_Комбинезон_утеп";"41500.0";"Не найдено";"";"";"";"";"";""
"Комбинезон утепленный DragonFly Junior Gravity";"_Комбинезон_утеп";"19900.0";"Не найдено";"";"";"";"";"";""
"Куртка женская DragonFly Sport";"_Куртка_женская_";"19600.0";"Не найдено";"";"";"";"";"";""
"Куртка мужская DragonFly Expedition";"_Куртка_мужская_";"26000.0";"Не найдено";"";"";"";"";"";""
"Куртка мужская DragonFly Sport";"_Куртка_мужская_";"13000.0";"Не найдено";"";"";"";"";"";""
"Куртка утепленная DragonFly Gravity for Teen";"_Куртка_утепленн";"14900.0";"Не найдено";"";"";"";"";"";""
"Куртка утепленная DragonFly Gravity Premium";"_Куртка_утепленн";"18000.0";"Не найдено";"";"";"";"";"";""
"Очки 509 Sinister X7 S1 Black Saphire с подогревом";"_Очки_509_Sinist";"64950.0";"Не найдено";"";"";"";"";"";""
"Очки 509 Sinister X7 S1 Racing Red с подогревом";"_Очки_509_Sinist";"64950.0";"Не найдено";"";"";"";"";"";""
"Очки с подогревом STARKS SW02";"SW02_Очки_с_подогрев";"19990.0";"Wildberries";"509/Очки горнолыжные (снегоходные) Aviator 2.0 S1 с подогревом /Очки горнолыжные (снегоходные) Aviator 2.0 S1 с подогревом";"61200.0";"41210.0";"206.2";"72.0";"https://www.wildberries.ru/catalog/302382218/detail.aspx"
"Очки с подогревом STARKS SW02";"SW02_Очки_с_подогрев";"19990.0";"Wildberries";"509/Очки горнолыжные снегоходные Aviator 2.0 S1 с подогревом /Очки горнолыжные снегоходные Aviator 2.0 S1 с подогревом";"61200.0";"41210.0";"206.2";"72.0";"https://www.wildberries.ru/catalog/302378802/detail.aspx"
"Перчатки DRAGONFLY Mountain Backcountry";"_Перчатки_DRAGON";"4600.0";"Не найдено";"";"";"";"";"";""
"Перчатки DRAGONFLY Snowmobile Extreme";"_Перчатки_DRAGON";"4600.0";"Не найдено";"";"";"";"";"";""
"Перчатки DRAGONFLY Snowmobile Sport";"_Перчатки_DRAGON";"4600.0";"Не найдено";"";"";"";"";"";""
"Перчатки FXR Attack";"_Перчатки_FXR_At";"13900.0";"Не найдено";"";"";"";"";"";""
"Перчатки FXR Attack Lite без утеплителя";"_Перчатки_FXR_At";"13500.0";"Не найдено";"";"";"";"";"";""
"Перчатки FXR CX с утеплителем";"_Перчатки_FXR_CX";"13900.0";"Не найдено";"";"";"";"";"";""
"Перчатки FXR Fuel с утеплителем";"_Перчатки_FXR_Fu";"15200.0";"Не найдено";"";"";"";"";"";""
"Перчатки FXR Leather";"_Перчатки_FXR_Le";"11600.0";"Не найдено";"";"";"";"";"";""
"Перчатки FXR Pro-Tec Leather с утеплителем";"_Перчатки_FXR_Pr";"15900.0";"Не найдено";"";"";"";"";"";""
"Перчатки FXR Transfer с утеплителем";"_Перчатки_FXR_Tr";"15100.0";"Не найдено";"";"";"";"";"";""
"Перчатки Nerve";"_Перчатки_Nerve";"3900.0";"Не найдено";"";"";"";"";"";""
"Перчатки STARKS ARCTIC";"_Перчатки_STARKS";"6500.0";"Не найдено";"";"";"";"";"";""
"Перчатки STARKS Haron";"_Перчатки_STARKS";"5990.0";"Не найдено";"";"";"";"";"";""
"Перчатки Suomy Snow";"_Перчатки_Suomy_";"4050.0";"Не найдено";"";"";"";"";"";""
"Перчатки подростковые FXR Helix Race с утеплителем";"_Перчатки_подрос";"8100.0";"Не найдено";"";"";"";"";"";""
"Плащ зимний DragonFly Race Coat";"_Плащ_зимний_Dra";"27500.0";"Не найдено";"";"";"";"";"";""
"Плащ зимний DragonFly Race Coat  WINTER SUNSET";"_Плащ_зимний_Dra";"28500.0";"Не найдено";"";"";"";"";"";""
"Сидушка неопреновая DragonFly";"_Сидушка_неопрен";"4200.0";"Не найдено";"";"";"";"";"";""
"Термомуфта на руль Starks Warm 30";"_Термомуфта_на_р";"2600.0";"Не найдено";"";"";"";"";"";""
"Термомуфта на руль Starks Warm 35";"_Термомуфта_на_р";"4990.0";"Не найдено";"";"";"";"";"";""
"Шлем 509 Altitude 2.0";"_Шлем_509_Altitu";"48300.0";"Не найдено";"";"";"";"";"";""
"Шлем 509 Altitude Fidlock";"_Шлем_509_Altitu";"40300.0";"Не найдено";"";"";"";"";"";""
"Шлем 509 Delta R3L с подогревом";"_Шлем_509_Delta_";"80400.0";"Не найдено";"";"";"";"";"";""
"Шлем 509 Tactical 2.0";"_Шлем_509_Tactic";"29600.0";"Не найдено";"";"";"";"";"";""
"Шлем FXR Helium Carbon";"_Шлем_FXR_Helium";"65350.0";"Не найдено";"";"";"";"";"";""
"Шлем FXR Helium Carbon W/ Auto Buckle";"_Шлем_FXR_Helium";"71100.0";"Не найдено";"";"";"";"";"";""
"Шлем FXR Helium Carbon W/ Fidlock";"_Шлем_FXR_Helium";"74170.0";"Не найдено";"";"";"";"";"";""
"Шлем FXR Maverick X Pro";"_Шлем_FXR_Maveri";"65800.0";"Не найдено";"";"";"";"";"";""
"Шлем FXR Maverick X с подогревом";"_Шлем_FXR_Maveri";"77800.0";"Не найдено";"";"";"";"";"";""
"Шлем FXR Torque Cold Stop QRS 22";"_Шлем_FXR_Torque";"35100.0";"Не найдено";"";"";"";"";"";""
"Шлем FXR Torque Team";"_Шлем_FXR_Torque";"22150.0";"Не найдено";"";"";"";"";"";""
"Шлем GSB G-362";"G-362_Шлем_GSB_G-362";"15490.0";"Не найдено";"";"";"";"";"";""
"Шлем RSX HS-310 Severus";"HS-310_Шлем_RSX_HS-310";"26000.0";"Не найдено";"";"";"";"";"";""
"Шлем RSX Iceman H-331 Winter";"H-331_Шлем_RSX_Iceman";"23500.0";"Не найдено";"";"";"";"";"";""
"Штаны женские DragonFly Sport";"_Штаны_женские_D";"17500.0";"Не найдено";"";"";"";"";"";""
"Штаны мужские DragonFly Expedition";"_Штаны_мужские_D";"24000.0";"Не найдено";"";"";"";"";"";""
"Штаны мужские DragonFly Expedition 2020";"_Штаны_мужские_D";"24000.0";"Не найдено";"";"";"";"";"";""
"Штаны мужские DragonFly Sport";"_Штаны_мужские_D";"15000.0";"Не найдено";"";"";"";"";"";""
"Штаны мужские DragonFly Sport 2019";"_Штаны_мужские_D";"15000.0";"Не найдено";"";"";"";"";"";""
