"Нумерация";"Товар 1С";"Артикул";"Цена 1С (руб)";"Маркетплейс";"Название на маркетплейсе";"Цена конкурента (руб)";"Разница (руб)";"Совпадение (%)";"Отзывов";"Рейтинг";"Ссылка"
"1";"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"Яндекс Маркет";"Очки 509 AVIATOR 2.0 XL S1 с подогревом";"64887.0";"48787.0";"74.0";"0";"";"https://market.yandex.ru/card/ochki-509-aviator-20-xl-s1-s-podogrevom/103244094858"
"1";"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"Яндекс Маркет";"Линза 509 Aviator 2.0 S1 Flow с подогревом Amber HCS Tint";"19336.0";"3236.0";"72.0";"0";"";"https://market.yandex.ru/card/linza-509-aviator-20-s1-flow-s-podogrevom-amber-hcs-tint/103088883382"
"1";"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"Яндекс Маркет";"Очки снегоходные с подогревом 509 Aviator 2.0 Ignite S1 Nightvision";"59476.0";"43376.0";"72.0";"0";"";"https://market.yandex.ru/card/ochki-snegokhodnyye-s-podogrevom-509-aviator-20-ignite-s1-nightvision/4385176710"
"1";"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"Яндекс Маркет";"Очки 509 Aviator 2.0 S1 с подогревом Nightvision 2023";"89100.0";"73000.0";"72.0";"0";"";"https://market.yandex.ru/card/ochki-509-aviator-20-s1-s-podogrevom-nightvision-2023/4535359226"
"1";"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"Яндекс Маркет";"Линза 509 Aviator 2.0 S1 Flow с подогревом Fire Mirror Clear Tint";"20084.0";"3984.0";"72.0";"0";"";"https://market.yandex.ru/card/linza-509-aviator-20-s1-flow-s-podogrevom-fire-mirror-clear-tint/103088882503"
"1";"Батарея S1 для очков Aviator 2.0 S1 с подогревом";"_Батарея_S1_для_";"16100.0";"Яндекс Маркет";"Очки 509 Aviator 2.0 S1 с подогревом (Nightvision (2023))";"64746.0";"48646.0";"72.0";"0";"";"https://market.yandex.ru/card/ochki-509-aviator-20-s1-s-podogrevom-nightvision-2023/103082316286"
"2";"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Яндекс Маркет";"Ботинки FXR Backshift BOA с утеплителем, мембрана HydrX Pro, унисекс, размер 42";"68817.0";"12167.0";"100.0";"0";"";"https://market.yandex.ru/card/botinki-fxr-backshift-boa-s-uteplitelem-membrana-hydrx-pro-uniseks-razmer-42/4736681313"
"2";"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Яндекс Маркет";"Снегоходные ботинки FXR Backshift BOA с утеплителем Black 43 EU";"72270.0";"15620.0";"100.0";"0";"";"https://market.yandex.ru/card/snegokhodnyye-botinki-fxr-backshift-boa-s-uteplitelem-black-43-eu/4535367624"
"2";"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Яндекс Маркет";"Ботинки FXR";"69854.0";"13204.0";"100.0";"0";"";"https://market.yandex.ru/card/botinki-snegokhodnyye-fxr-helium-boa-s-uteplitelem/4307517999"
"2";"Ботинки FXR Backshift BOA с утеплителем";"_Ботинки_FXR_Bac";"56650.0";"Яндекс Маркет";"Ботинки FXR";"44522.0";"-12128.0";"100.0";"0";"";"https://market.yandex.ru/card/botinki-fxr-x-cross-speed/4735109290"
