"Товар 1С";"Артикул";"Цена 1С (руб)";"Маркетплейс";"Название на маркетплейсе";"Цена конкурента (руб)";"Разница (руб)";"Разница (%)";"Совпадение (%)";"Ссылка"
"Гайка М16х1,5 для фитинга Н655";"_Гайка_М16х";"300.0";"Avito";"Гайка колёсные для узких отверстие м12х1.5 в Москве";"1700.0";"1400.0";"466.7";"61.0";"https://www.avito.ru/moskva/zapchasti_i_aksessuary/gayka_kolesnye_dlya_uzkih_otverstie_m12h1.5_3627143298"
"Гайка М16х1,5 для фитинга Н655";"_Гайка_М16х";"300.0";"Avito";"Гайка 12х1.5 конус. внутренний шестигранник в Уфе";"75.0";"-225.0";"-75.0";"58.0";"https://www.avito.ru/ufa/zapchasti_i_aksessuary/gayka_12h1.5_konus._vnutrenniy_shestigrannik_4087849446"
"Гайка М16х1,5 для фитинга Н655";"_Гайка_М16х";"300.0";"Avito";"Гайка колесная 12 1.5 в Тольятти";"1500.0";"1200.0";"400.0";"58.0";"https://www.avito.ru/tolyatti/zapchasti_i_aksessuary/gayka_kolesnaya_12_1.5_7746616368"
"Гайка М16х1,5 для фитинга Н655";"_Гайка_М16х";"300.0";"Avito";"Колесные гайки 12х1.5 в Нижнем Новгороде";"760.0";"460.0";"153.3";"57.0";"https://www.avito.ru/nizhniy_novgorod/zapchasti_i_aksessuary/kolesnye_gayki_12h1.5_7710623187"
"Гайка М16х1,5 для фитинга Н655";"_Гайка_М16х";"300.0";"Avito";"Гайка колесная m12x1, 5x47, несъемная шайба, кл.21, закрытая, хром для а / м toyota / lexus (ascr009 в Перми";"172.0";"-128.0";"-42.7";"57.0";"https://www.avito.ru/perm/zapchasti_i_aksessuary/gayka_kolesnaya_m12x1_5x47_nesemnaya_shayba_kl.21_zakrytaya_hrom_dlya_a_m_toyota_lexus_ascr009_7715401199"
"Гайка М16х1,5 для фитинга Н655";"_Гайка_М16х";"300.0";"Avito";"Гайка колесная m12x1, 25x37, несъемная шайба, кл.21, закрытая, хром для а / м nissan / infiniti (asc в Оренбурге";"172.0";"-128.0";"-42.7";"57.0";"https://www.avito.ru/orenburg/zapchasti_i_aksessuary/gayka_kolesnaya_m12x1_25x37_nesemnaya_shayba_kl.21_zakrytaya_hrom_dlya_a_m_nissan_infiniti_asc_7747532799"
"Гайка М16х1,5 для фитинга Н655";"_Гайка_М16х";"300.0";"Avito";"Гайка M25х1.5 никелированая латунь DKC 6006-25 в Курске";"700.0";"400.0";"133.3";"56.0";"https://www.avito.ru/kursk/remont_i_stroitelstvo/gayka_m25h1.5_nikelirovanaya_latun_dkc_6006-25_7433345624"
"Гайка М16х1,5 для фитинга Н655";"_Гайка_М16х";"300.0";"Avito";"Замок для электрощита в Перми";"150.0";"-150.0";"-50.0";"55.0";"https://www.avito.ru/perm/remont_i_stroitelstvo/zamok_dlya_elektroschita_4098284209"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Заклепка в Пензе";"105.0";"-395.0";"-79.0";"69.0";"https://www.avito.ru/penza/zapchasti_i_aksessuary/zaklepka_3656962884"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Заклепка распорная в Уфе";"39.0";"-461.0";"-92.2";"59.0";"https://www.avito.ru/ufa/zapchasti_i_aksessuary/zaklepka_raspornaya_3947772513"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Заклёпка разрезная AL/AL 4,0x21 в Москве";"5000.0";"4500.0";"900.0";"58.0";"https://www.avito.ru/moskva/remont_i_stroitelstvo/zaklepka_razreznaya_alal_40x21_3615619577"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Заклепка распорная в Орске";"39.0";"-461.0";"-92.2";"58.0";"https://www.avito.ru/orsk/zapchasti_i_aksessuary/zaklepka_raspornaya_3745020161"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Заклепки нерж в Москве";"1.0";"-499.0";"-99.8";"58.0";"https://www.avito.ru/moskva/remont_i_stroitelstvo/zaklepki_nerzh_4019245234"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Заклепка, распорная в Москве";"40.0";"-460.0";"-92.0";"57.0";"https://www.avito.ru/moskva/zapchasti_i_aksessuary/zaklepka_raspornaya_4639705211"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Замок для электрощита в Перми";"150.0";"-350.0";"-70.0";"57.0";"https://www.avito.ru/perm/remont_i_stroitelstvo/zamok_dlya_elektroschita_4098284209"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Заклепка металлическая в Омске";"74.0";"-426.0";"-85.2";"56.0";"https://www.avito.ru/omsk/zapchasti_i_aksessuary/zaklepka_metallicheskaya_3696799477"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Заклепка распорная в Оренбурге";"39.0";"-461.0";"-92.2";"56.0";"https://www.avito.ru/orenburg/zapchasti_i_aksessuary/zaklepka_raspornaya_3844007687"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Заклепки harpoon 5.0x12.0 в Коммунарке";"700.0";"200.0";"40.0";"56.0";"https://www.avito.ru/kommunarka/remont_i_stroitelstvo/zaklepki_harpoon_5.0x12.0_2556713657"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Заклепка металлическая в Перми";"74.0";"-426.0";"-85.2";"55.0";"https://www.avito.ru/perm/zapchasti_i_aksessuary/zaklepka_metallicheskaya_3780253349"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Заклепка металлическая в Челябинске";"74.0";"-426.0";"-85.2";"55.0";"https://www.avito.ru/chelyabinsk/zapchasti_i_aksessuary/zaklepka_metallicheskaya_3718668117"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Заклепка металлическая в Магнитогорске";"74.0";"-426.0";"-85.2";"55.0";"https://www.avito.ru/magnitogorsk/zapchasti_i_aksessuary/zaklepka_metallicheskaya_3795700792"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Заклепка металлическая в Волгограде";"74.0";"-426.0";"-85.2";"55.0";"https://www.avito.ru/volgograd/zapchasti_i_aksessuary/zaklepka_metallicheskaya_3008525787"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Заклепка алюминиевая 4х10 (600 шт) (260 гр.) в Самаре";"200.0";"-300.0";"-60.0";"55.0";"https://www.avito.ru/samara/remont_i_stroitelstvo/zaklepka_alyuminievaya_4h10_600_sht_260_gr._2005534599"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Заклепка 12Х18Н10Т 4x5, 5х6 исп.2 ГОСТ 12642-80 в Самаре";"70.0";"-430.0";"-86.0";"55.0";"https://www.avito.ru/samara/remont_i_stroitelstvo/zaklepka_12h18n10t_4x5_5h6_isp.2_gost_12642-80_4372097115"
