"Товар 1С";"Артикул";"Цена 1С (руб)";"Маркетплейс";"Название на маркетплейсе";"Цена конкурента (руб)";"Разница (руб)";"Разница (%)";"Совпадение (%)";"Ссылка"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Заклепка полупустотелые в Мурино";"50.0";"-450.0";"-90.0";"55.0";"https://www.avito.ru/murino/remont_i_stroitelstvo/zaklepka_polupustotelye_7349324224"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Ключ Siemens m65 в Москве";"990.0";"490.0";"98.0";"54.0";"https://www.avito.ru/moskva/telefony/klyuch_siemens_m65_7423546706"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Набор для игр Замок с приключениями в Химках";"2400.0";"1900.0";"380.0";"54.0";"https://www.avito.ru/himki/tovary_dlya_detey_i_igrushki/nabor_dlya_igr_zamok_s_priklyucheniyami_7632266503"
"525 MVXZ2-MLJ ЗАМОК-ЗАКЛЕПКА";"MVXZ2-MLJ_525_MVXZ2-";"500.0";"Avito";"Заклёпка для крепления Renault в Москве";"100.0";"-400.0";"-80.0";"54.0";"https://www.avito.ru/moskva/zapchasti_i_aksessuary/zaklepka_dlya_krepleniya_renault_7550962043"
"525 SROZ2-SKJ/G ЗАМОК-ЗАЩЕЛКА GOLD";"SROZ2-SKJ_525_SROZ2-";"500.0";"Avito";"Заклёпка разрезная AL/AL 4,0x21 в Москве";"5000.0";"4500.0";"900.0";"55.0";"https://www.avito.ru/moskva/remont_i_stroitelstvo/zaklepka_razreznaya_alal_40x21_3615619577"
"530 SROZ2-SKJ ЗАМОК-ЗАЩЁЛКА";"SROZ2-SKJ_530_SROZ2-";"400.0";"Avito";"Замок для электрощита в Перми";"150.0";"-250.0";"-62.5";"55.0";"https://www.avito.ru/perm/remont_i_stroitelstvo/zamok_dlya_elektroschita_4098284209"
"530ZVX3-MLJ ЗАМОК-ЗАКЛЕПКА";"530ZVX3-MLJ_530ZVX3-ML";"550.0";"Avito";"Заклепка в Пензе";"105.0";"-445.0";"-80.9";"69.0";"https://www.avito.ru/penza/zapchasti_i_aksessuary/zaklepka_3656962884"
"530ZVX3-MLJ ЗАМОК-ЗАКЛЕПКА";"530ZVX3-MLJ_530ZVX3-ML";"550.0";"Avito";"Заклёпка разрезная AL/AL 4,0x21 в Москве";"5000.0";"4450.0";"809.1";"60.0";"https://www.avito.ru/moskva/remont_i_stroitelstvo/zaklepka_razreznaya_alal_40x21_3615619577"
"530ZVX3-MLJ ЗАМОК-ЗАКЛЕПКА";"530ZVX3-MLJ_530ZVX3-ML";"550.0";"Avito";"Заклепка распорная в Орске";"39.0";"-511.0";"-92.9";"59.0";"https://www.avito.ru/orsk/zapchasti_i_aksessuary/zaklepka_raspornaya_3745020161"
"530ZVX3-MLJ ЗАМОК-ЗАКЛЕПКА";"530ZVX3-MLJ_530ZVX3-ML";"550.0";"Avito";"Заклепки нерж в Москве";"1.0";"-549.0";"-99.8";"59.0";"https://www.avito.ru/moskva/remont_i_stroitelstvo/zaklepki_nerzh_4019245234"
"530ZVX3-MLJ ЗАМОК-ЗАКЛЕПКА";"530ZVX3-MLJ_530ZVX3-ML";"550.0";"Avito";"Заклепка распорная в Уфе";"39.0";"-511.0";"-92.9";"59.0";"https://www.avito.ru/ufa/zapchasti_i_aksessuary/zaklepka_raspornaya_3947772513"
"530ZVX3-MLJ ЗАМОК-ЗАКЛЕПКА";"530ZVX3-MLJ_530ZVX3-ML";"550.0";"Avito";"Заклепка, распорная в Москве";"40.0";"-510.0";"-92.7";"58.0";"https://www.avito.ru/moskva/zapchasti_i_aksessuary/zaklepka_raspornaya_4639705211"
"530ZVX3-MLJ ЗАМОК-ЗАКЛЕПКА";"530ZVX3-MLJ_530ZVX3-ML";"550.0";"Avito";"Заклепка металлическая в Перми";"74.0";"-476.0";"-86.5";"57.0";"https://www.avito.ru/perm/zapchasti_i_aksessuary/zaklepka_metallicheskaya_3780253349"
"530ZVX3-MLJ ЗАМОК-ЗАКЛЕПКА";"530ZVX3-MLJ_530ZVX3-ML";"550.0";"Avito";"Заклепка металлическая в Челябинске";"74.0";"-476.0";"-86.5";"57.0";"https://www.avito.ru/chelyabinsk/zapchasti_i_aksessuary/zaklepka_metallicheskaya_3718668117"
"530ZVX3-MLJ ЗАМОК-ЗАКЛЕПКА";"530ZVX3-MLJ_530ZVX3-ML";"550.0";"Avito";"Заклепка металлическая в Магнитогорске";"74.0";"-476.0";"-86.5";"57.0";"https://www.avito.ru/magnitogorsk/zapchasti_i_aksessuary/zaklepka_metallicheskaya_3795700792"
"530ZVX3-MLJ ЗАМОК-ЗАКЛЕПКА";"530ZVX3-MLJ_530ZVX3-ML";"550.0";"Avito";"Заклепка металлическая в Волгограде";"74.0";"-476.0";"-86.5";"57.0";"https://www.avito.ru/volgograd/zapchasti_i_aksessuary/zaklepka_metallicheskaya_3008525787"
"530ZVX3-MLJ ЗАМОК-ЗАКЛЕПКА";"530ZVX3-MLJ_530ZVX3-ML";"550.0";"Avito";"Заклепка металлическая в Омске";"74.0";"-476.0";"-86.5";"57.0";"https://www.avito.ru/omsk/zapchasti_i_aksessuary/zaklepka_metallicheskaya_3696799477"
"530ZVX3-MLJ ЗАМОК-ЗАКЛЕПКА";"530ZVX3-MLJ_530ZVX3-ML";"550.0";"Avito";"Заклепка распорная в Оренбурге";"39.0";"-511.0";"-92.9";"57.0";"https://www.avito.ru/orenburg/zapchasti_i_aksessuary/zaklepka_raspornaya_3844007687"
"530ZVX3-MLJ ЗАМОК-ЗАКЛЕПКА";"530ZVX3-MLJ_530ZVX3-ML";"550.0";"Avito";"Заклепка алюминиевая 4х10 (600 шт) (260 гр.) в Самаре";"200.0";"-350.0";"-63.6";"57.0";"https://www.avito.ru/samara/remont_i_stroitelstvo/zaklepka_alyuminievaya_4h10_600_sht_260_gr._2005534599"
"530ZVX3-MLJ ЗАМОК-ЗАКЛЕПКА";"530ZVX3-MLJ_530ZVX3-ML";"550.0";"Avito";"Заклепка 12Х18Н10Т 4x5, 5х6 исп.2 ГОСТ 12642-80 в Самаре";"70.0";"-480.0";"-87.3";"57.0";"https://www.avito.ru/samara/remont_i_stroitelstvo/zaklepka_12h18n10t_4x5_5h6_isp.2_gost_12642-80_4372097115"
"530ZVX3-MLJ ЗАМОК-ЗАКЛЕПКА";"530ZVX3-MLJ_530ZVX3-ML";"550.0";"Avito";"Заклепка полупустотелые в Мурино";"50.0";"-500.0";"-90.9";"57.0";"https://www.avito.ru/murino/remont_i_stroitelstvo/zaklepka_polupustotelye_7349324224"
"530ZVX3-MLJ ЗАМОК-ЗАКЛЕПКА";"530ZVX3-MLJ_530ZVX3-ML";"550.0";"Avito";"Заклепки harpoon 5.0x12.0 в Коммунарке";"700.0";"150.0";"27.3";"55.0";"https://www.avito.ru/kommunarka/remont_i_stroitelstvo/zaklepki_harpoon_5.0x12.0_2556713657"
"530ZVX3-MLJ ЗАМОК-ЗАКЛЕПКА";"530ZVX3-MLJ_530ZVX3-ML";"550.0";"Avito";"Замок для электрощита в Перми";"150.0";"-400.0";"-72.7";"55.0";"https://www.avito.ru/perm/remont_i_stroitelstvo/zamok_dlya_elektroschita_4098284209"
"ABS-CLIPS Фиксатор для ABS HEL";"ABS-CLIPS_ABS-CLIPS_";"250.0";"Не найдено";"";"";"";"";"";""
"CCW-08 Медная шайба HEL - 8MM";"CCW-08_CCW-08_Мед";"50.0";"Не найдено";"";"";"";"";"";""
"Медная шайба - 10MM, 3/8”";"_Медная_шай";"50.0";"Avito";"Гайка колесная m12x1, 5x47, несъемная шайба, кл.21, закрытая, хром для а / м toyota / lexus (ascr009 в Перми";"172.0";"122.0";"244.0";"56.0";"https://www.avito.ru/perm/zapchasti_i_aksessuary/gayka_kolesnaya_m12x1_5x47_nesemnaya_shayba_kl.21_zakrytaya_hrom_dlya_a_m_toyota_lexus_ascr009_7715401199"
"Медная шайба - 10MM, 3/8”";"_Медная_шай";"50.0";"Avito";"Гайка колесная m12x1, 25x37, несъемная шайба, кл.21, закрытая, хром для а / м nissan / infiniti (asc в Оренбурге";"172.0";"122.0";"244.0";"56.0";"https://www.avito.ru/orenburg/zapchasti_i_aksessuary/gayka_kolesnaya_m12x1_25x37_nesemnaya_shayba_kl.21_zakrytaya_hrom_dlya_a_m_nissan_infiniti_asc_7747532799"
"Медная шайба 7/16 HD";"_Медная_шай";"50.0";"Avito";"Гайка колесная m12x1, 5x47, несъемная шайба, кл.21, закрытая, хром для а / м toyota / lexus (ascr009 в Перми";"172.0";"122.0";"244.0";"56.0";"https://www.avito.ru/perm/zapchasti_i_aksessuary/gayka_kolesnaya_m12x1_5x47_nesemnaya_shayba_kl.21_zakrytaya_hrom_dlya_a_m_toyota_lexus_ascr009_7715401199"
"Медная шайба 7/16 HD";"_Медная_шай";"50.0";"Avito";"Гайка колесная m12x1, 25x37, несъемная шайба, кл.21, закрытая, хром для а / м nissan / infiniti (asc в Оренбурге";"172.0";"122.0";"244.0";"56.0";"https://www.avito.ru/orenburg/zapchasti_i_aksessuary/gayka_kolesnaya_m12x1_25x37_nesemnaya_shayba_kl.21_zakrytaya_hrom_dlya_a_m_nissan_infiniti_asc_7747532799"
"Медная шайба 12mm";"_Медная_шай";"50.0";"Avito";"Гайка колесная m12x1, 5x47, несъемная шайба, кл.21, закрытая, хром для а / м toyota / lexus (ascr009 в Перми";"172.0";"122.0";"244.0";"56.0";"https://www.avito.ru/perm/zapchasti_i_aksessuary/gayka_kolesnaya_m12x1_5x47_nesemnaya_shayba_kl.21_zakrytaya_hrom_dlya_a_m_toyota_lexus_ascr009_7715401199"
"Медная шайба 12mm";"_Медная_шай";"50.0";"Avito";"Гайка колесная m12x1, 25x37, несъемная шайба, кл.21, закрытая, хром для а / м nissan / infiniti (asc в Оренбурге";"172.0";"122.0";"244.0";"56.0";"https://www.avito.ru/orenburg/zapchasti_i_aksessuary/gayka_kolesnaya_m12x1_25x37_nesemnaya_shayba_kl.21_zakrytaya_hrom_dlya_a_m_nissan_infiniti_asc_7747532799"
"Стальная стопорная скоба для H663/H675";"_Стальная_с";"260.0";"Avito";"Скоба замка двери средняя в Москве";"495.0";"235.0";"90.4";"55.0";"https://www.avito.ru/moskva/zapchasti_i_aksessuary/skoba_zamka_dveri_srednyaya_4708695894"
"Стальная стопорная скоба для H663/H675";"_Стальная_с";"260.0";"Avito";"Заклепка распорная в Орске";"39.0";"-221.0";"-85.0";"55.0";"https://www.avito.ru/orsk/zapchasti_i_aksessuary/zaklepka_raspornaya_3745020161"
"Стальная стопорная скоба для H663/H675";"_Стальная_с";"260.0";"Avito";"Гайка колесная 12 1.5 в Тольятти";"1500.0";"1240.0";"476.9";"55.0";"https://www.avito.ru/tolyatti/zapchasti_i_aksessuary/gayka_kolesnaya_12_1.5_7746616368"
"Стальная стопорная скоба для H663/H675";"_Стальная_с";"260.0";"Avito";"Заклепка, распорная в Москве";"40.0";"-220.0";"-84.6";"55.0";"https://www.avito.ru/moskva/zapchasti_i_aksessuary/zaklepka_raspornaya_4639705211"
"Стальная стопорная скоба для H663/H675";"_Стальная_с";"260.0";"Avito";"Заклепка распорная в Уфе";"39.0";"-221.0";"-85.0";"54.0";"https://www.avito.ru/ufa/zapchasti_i_aksessuary/zaklepka_raspornaya_3947772513"
"Clip-spring Скоба-пружина HEL";"_Clip-sprin";"50.0";"Не найдено";"";"";"";"";"";""
"CRAZY IRON Адаптер для переднего подката PRO D15";"_CRAZY_IRON";"490.0";"Avito";"Для Vertu Constellation V - средняя часть в Москве";"558.0";"68.0";"13.9";"55.0";"https://www.avito.ru/moskva/telefony/dlya_vertu_constellation_v_-_srednyaya_chast_7201738434"
"CRAZY IRON Адаптер для переднего подката PRO D15";"_CRAZY_IRON";"490.0";"Avito";"Для Vertu Constellation V - накладка камеры в Москве";"465.0";"-25.0";"-5.1";"55.0";"https://www.avito.ru/moskva/telefony/dlya_vertu_constellation_v_-_nakladka_kamery_7201438732"
"CRAZY IRON Адаптер для переднего подката PRO D15";"_CRAZY_IRON";"490.0";"Avito";"Для Vertu Constellation V - рамка дисплея в Москве";"744.0";"254.0";"51.8";"54.0";"https://www.avito.ru/moskva/telefony/dlya_vertu_constellation_v_-_ramka_displeya_7201271097"
"H-JOINER Соединитель HEL";"H-JOINER_H-JOINER_С";"850.0";"Не найдено";"";"";"";"";"";""
"H150-03C Банджо болт HEL - 3/8” X 24 UNF";"H150-03C_H150-03C_Б";"450.0";"Не найдено";"";"";"";"";"";""
"Банджо болт HEL короткий JIC 7/16 x 20";"_Банджо_бол";"500.0";"Не найдено";"";"";"";"";"";""
"H150-44C Банджо болт HEL короткий JIC 7/16 x 24";"H150-44C_H150-44C_Б";"450.0";"Не найдено";"";"";"";"";"";""
"H160-03-06C Банджо болт короткий HEL";"H160-03_H160-03-06";"350.0";"Не найдено";"";"";"";"";"";""
"H160-03-08C Банджо болт HEL - M8 X 1.00";"H160-03_H160-03-08";"380.0";"Не найдено";"";"";"";"";"";""
"H160-31C Банджо болт HEL - M10 X 1.00";"H160-31C_H160-31C_Б";"400.0";"Не найдено";"";"";"";"";"";""
"H160-32C Банджо болт HEL - M10 X 1.25";"H160-32C_H160-32C_Б";"500.0";"Не найдено";"";"";"";"";"";""
"H161-31C Двойной банджо болт HEL M10 X 1.00";"H161-31C_H161-31C_Д";"450.0";"Не найдено";"";"";"";"";"";""
"H161-32C Двойной банджо болт HEL M10 X 1.25";"H161-32C_H161-32C_Д";"500.0";"Не найдено";"";"";"";"";"";""
"H610 Вставка HEL выгнутая короткая";"_H610_Встав";"500.0";"Avito";"Гайка колесная Конус М12x1,25 L28 10шт в Серпухове";"1000.0";"500.0";"100.0";"55.0";"https://www.avito.ru/serpuhov/zapchasti_i_aksessuary/gayka_kolesnaya_konus_m12x125_l28_10sht_3704764586"
"H610 Вставка HEL выгнутая короткая";"_H610_Встав";"500.0";"Avito";"Гайка колесная 12 1.5 в Тольятти";"1500.0";"1000.0";"200.0";"54.0";"https://www.avito.ru/tolyatti/zapchasti_i_aksessuary/gayka_kolesnaya_12_1.5_7746616368"
"H616 Вставка HEL выпуклая короткая";"_H616_Встав";"450.0";"Avito";"Гайка колесная 12 1.5 в Тольятти";"1500.0";"1050.0";"233.3";"56.0";"https://www.avito.ru/tolyatti/zapchasti_i_aksessuary/gayka_kolesnaya_12_1.5_7746616368"
"H616 Вставка HEL выпуклая короткая";"_H616_Встав";"450.0";"Avito";"Гайка M25х1.5 никелированая латунь DKC 6006-25 в Курске";"700.0";"250.0";"55.6";"55.0";"https://www.avito.ru/kursk/remont_i_stroitelstvo/gayka_m25h1.5_nikelirovanaya_latun_dkc_6006-25_7433345624"
"H616 Вставка HEL выпуклая короткая";"_H616_Встав";"450.0";"Avito";"Гайка колесная Конус М12x1,25 L28 10шт в Серпухове";"1000.0";"550.0";"122.2";"55.0";"https://www.avito.ru/serpuhov/zapchasti_i_aksessuary/gayka_kolesnaya_konus_m12x125_l28_10sht_3704764586"
"H616 Вставка HEL выпуклая короткая";"_H616_Встав";"450.0";"Avito";"Заклёпка разрезная AL/AL 4,0x21 в Москве";"5000.0";"4550.0";"1011.1";"54.0";"https://www.avito.ru/moskva/remont_i_stroitelstvo/zaklepka_razreznaya_alal_40x21_3615619577"
"H620 Вставка HEL с плоским конусом 44 mm";"_H620_Встав";"450.0";"Avito";"Гайка колёсная М12х1.25-44 хром конус, ключ 19 в Москве";"1800.0";"1350.0";"300.0";"56.0";"https://www.avito.ru/moskva/zapchasti_i_aksessuary/gayka_kolesnaya_m12h1.25-44_hrom_konus_klyuch_19_3976560450"
"H620 Вставка HEL с плоским конусом 44 mm";"_H620_Встав";"450.0";"Avito";"Гайка колесная Конус М12x1,25 L28 10шт в Серпухове";"1000.0";"550.0";"122.2";"54.0";"https://www.avito.ru/serpuhov/zapchasti_i_aksessuary/gayka_kolesnaya_konus_m12x125_l28_10sht_3704764586"
"H620 Вставка HEL с плоским конусом 44 mm";"_H620_Встав";"450.0";"Avito";"Гайка колесная 12 1.5 в Тольятти";"1500.0";"1050.0";"233.3";"54.0";"https://www.avito.ru/tolyatti/zapchasti_i_aksessuary/gayka_kolesnaya_12_1.5_7746616368"
"H650-03CN Фитинг HEL """"Мама"""" 3/8""""";"H650-03CN_H650-03CN_";"350.0";"Не найдено";"";"";"";"";"";""
"H650-04CN Фитинг HEL """"Мама""""";"H650-04CN_H650-04CN_";"900.0";"Не найдено";"";"";"";"";"";""
"H650-31CN Фитинг HEL с внутренней резьбой """"Мама"""" M10 x 1.00 Metric";"H650-31CN_H650-31CN_";"500.0";"Avito";"Гайка 12х1.5 конус. внутренний шестигранник в Уфе";"75.0";"-425.0";"-85.0";"57.0";"https://www.avito.ru/ufa/zapchasti_i_aksessuary/gayka_12h1.5_konus._vnutrenniy_shestigrannik_4087849446"
"H650-31CN Фитинг HEL с внутренней резьбой """"Мама"""" M10 x 1.00 Metric";"H650-31CN_H650-31CN_";"500.0";"Avito";"Трос замка задней двери RH Mav01, Escp01 в Тучково";"1000.0";"500.0";"100.0";"54.0";"https://www.avito.ru/tuchkovo/zapchasti_i_aksessuary/tros_zamka_zadney_dveri_rh_mav01_escp01_3550172581"
"H650-32CN Фитинг HEL """"Мама"""" без вставки M10 x 1.25 Metric";"H650-32CN_H650-32CN_";"350.0";"Не найдено";"";"";"";"";"";""
"H652-03CN Фитинг HEL """"Папа"""" 3/8"""" x 24";"H652-03CN_H652-03CN_";"350.0";"Не найдено";"";"";"";"";"";""
"H652-04CN Фитинг HEL """"Папа"""" 7/16 x 20""""";"H652-04CN_H652-04CN_";"600.0";"Не найдено";"";"";"";"";"";""
"H652-12-31CN Фитинг HEL """"Папа"""", M12 x 1.00 Metric";"H652-12_H652-12-31";"400.0";"Не найдено";"";"";"";"";"";""
"H652-31CN Фитинг HEL """"Папа"""", только гайка M10 x 1.00 Metric";"H652-31CN_H652-31CN_";"500.0";"Avito";"Гайка колесная 12 1.5 в Тольятти";"1500.0";"1000.0";"200.0";"58.0";"https://www.avito.ru/tolyatti/zapchasti_i_aksessuary/gayka_kolesnaya_12_1.5_7746616368"
"Фитинг HEL """"Папа"""" без вставки 13мм M10 x 1.00 Metric";"_Фитинг_HEL";"400.0";"Не найдено";"";"";"";"";"";""
"H652-32CN Фитинг HEL """"Папа"""", только гайка M10 x 1.25 Metric";"H652-32CN_H652-32CN_";"350.0";"Avito";"Гайка колесная 12 1.5 в Тольятти";"1500.0";"1150.0";"328.6";"58.0";"https://www.avito.ru/tolyatti/zapchasti_i_aksessuary/gayka_kolesnaya_12_1.5_7746616368"
"H652-32CN Фитинг HEL """"Папа"""", только гайка M10 x 1.25 Metric";"H652-32CN_H652-32CN_";"350.0";"Avito";"Гайка M25х1.5 никелированая латунь DKC 6006-25 в Курске";"700.0";"350.0";"100.0";"56.0";"https://www.avito.ru/kursk/remont_i_stroitelstvo/gayka_m25h1.5_nikelirovanaya_latun_dkc_6006-25_7433345624"
"H657-31C Фитинг """"Папа"""", M10 x 1.00 Metric";"H657-31C_H657-31C_Ф";"750.0";"Не найдено";"";"";"";"";"";""
"H657-32C Фитинг HEL """"Папа"""" со вставкой прямой M10 x 1.25 Metric";"H657-32C_H657-32C_Ф";"850.0";"Не найдено";"";"";"";"";"";""
"H659-03C Фитинг HEL """"Папа"""" со вставкой";"H659-03C_H659-03C_Ф";"950.0";"Не найдено";"";"";"";"";"";""
"H660-31CNR Фитинг HEL """"Мама"""" без вставки";"H660-31CNR_H660-31CNR";"750.0";"Не найдено";"";"";"";"";"";""
